sample,true_study,predicted_study,correct,true_in_top5
PRJEB13896_ERR1421934,PRJEB13896,PRJNA481243,False,False
PRJNA481243_SRR7547097,PRJNA481243,PRJNA481243,True,True
PRJEB6705_ERR561214,PRJEB6705,PRJEB6705,True,True
PRJNA607574_SRR11116565,PRJNA607574,PRJNA607574,True,True
PRJEB29433_ERR3386322,PRJEB29433,PRJEB29433,True,True
PRJNA545312_SRR11415372,PRJNA545312,PRJNA548153,False,True
PRJNA526906_SRR8726979,PRJNA526906,PRJNA526906,True,True
PRJEB40751_ERR4672302,PRJEB40751,PRJEB40751,True,True
PRJNA673102_SRR12950443,PRJNA673102,PRJNA673102,True,True
PRJNA673102_SRR12950882,PRJNA673102,PRJNA673102,True,True
PRJNA657821_SRR12467264,PRJNA657821,PRJNA657821,True,True
PRJNA421286_SRR6369061,PRJNA421286,PRJNA544527,False,True
PRJNA729511_SRR14991160,PRJNA729511,PRJNA729511,True,True
PRJNA324825_SRR3647898,PRJNA324825,PRJNA685746,False,False
PRJNA556249_SRR10061423,PRJNA556249,PRJNA601994,False,True
PRJNA396815_SRR6867158,PRJNA396815,PRJNA396815,True,True
PRJNA414072_SRR6221368,PRJNA414072,PRJNA414072,True,True
PRJNA598280_SRR10848280,PRJNA598280,PRJNA598280,True,True
PRJNA394877_SRR5979736,PRJNA394877,PRJNA607574,False,True
PRJNA232731_SRR1460892,PRJNA232731,PRJNA232731,True,True
PRJNA674880_SRR13060402,PRJNA674880,PRJNA674880,True,True
PRJEB29433_ERR3389106,PRJEB29433,PRJEB29433,True,True
PRJNA541332_SRR9020099,PRJNA541332,PRJNA541332,True,True
PRJNA491825_SRR7875943,PRJNA491825,PRJNA491825,True,True
PRJEB27068_ERR3019546,PRJEB27068,PRJEB27068,True,True
PRJNA600229_SRR10858764,PRJNA600229,PRJDB9469,False,False
PRJNA715072_SRR13986018,PRJNA715072,PRJNA715072,True,True
PRJEB38948_ERR4348186,PRJEB38948,PRJEB38948,True,True
PRJNA231909_SRR1909699,PRJNA231909,PRJNA497734,False,False
PRJEB17860_ERR1745070,PRJEB17860,PRJEB17860,True,True
PRJNA486009_SRR13484257,PRJNA486009,PRJNA486009,True,True
PRJNA385551_SRR5803738,PRJNA385551,PRJNA385551,True,True
PRJDB10528_DRR247967,PRJDB10528,PRJDB10528,True,True
PRJEB38948_ERR4347633,PRJEB38948,PRJEB38948,True,True
PRJNA657821_SRR12468838,PRJNA657821,PRJNA657821,True,True
PRJNA607574_SRR11397314,PRJNA607574,PRJNA548153,False,True
PRJNA544545_SRR9124496,PRJNA544545,PRJNA605031,False,True
PRJNA416445_SRR6251502,PRJNA416445,PRJNA685746,False,False
PRJEB28159_ERR3401881,PRJEB28159,PRJEB28159,True,True
PRJNA607574_SRR11395457,PRJNA607574,PRJNA607574,True,True
PRJNA413199_SRR6147286,PRJNA413199,PRJNA413199,True,True
PRJNA417357_SRR6265358,PRJNA417357,PRJNA417357,True,True
PRJEB35769_ERR3765218,PRJEB35769,PRJEB35769,True,True
PRJNA517572_SRR8500725,PRJNA517572,PRJNA517572,True,True
PRJNA414540_SRR6182505,PRJNA414540,PRJNA657821,False,False
PRJNA604280_SRR11005446,PRJNA604280,PRJNA729511,False,True
PRJEB27068_ERR3018277,PRJEB27068,PRJEB27068,True,True
PRJNA422134_SRR7554730,PRJNA422134,PRJNA422134,True,True
PRJNA480547_SRR7507347,PRJNA480547,PRJNA480547,True,True
PRJEB33065_ERR3377368,PRJEB33065,PRJEB33065,True,True
PRJNA353587_SRR5020898,PRJNA353587,PRJNA548153,False,False
PRJDB10528_DRR247875,PRJDB10528,PRJNA428736,False,True
PRJNA727279_SRR14456004,PRJNA727279,PRJNA727279,True,True
PRJEB27868_ERR2712898,PRJEB27868,PRJEB27868,True,True
PRJNA616703_SRR11456333,PRJNA616703,PRJNA616703,True,True
PRJNA396815_SRR6867639,PRJNA396815,PRJNA396815,True,True
PRJNA422134_SRR6370533,PRJNA422134,PRJNA422134,True,True
PRJEB32077_ERR3266086,PRJEB32077,PRJEB32077,True,True
PRJEB27068_ERR3018457,PRJEB27068,PRJEB27068,True,True
PRJNA605031_SRR11030979,PRJNA605031,PRJNA605031,True,True
PRJNA480312_SRR7501894,PRJNA480312,PRJNA421286,False,True
PRJEB28159_ERR3401444,PRJEB28159,PRJEB27068,False,True
PRJNA394877_SRR5979553,PRJNA394877,PRJNA394877,True,True
PRJNA673102_SRR12950776,PRJNA673102,PRJNA673102,True,True
PRJNA417357_SRR6264225,PRJNA417357,PRJNA417357,True,True
PRJEB39382_ERR4341345,PRJEB39382,PRJEB39382,True,True
PRJEB11419_ERR5325672,PRJEB11419,PRJEB11419,True,True
PRJNA437504_SRR6820142,PRJNA437504,PRJNA437504,True,True
PRJEB43667_ERR5470738,PRJEB43667,PRJEB43667,True,True
PRJNA729511_SRR14992301,PRJNA729511,PRJNA729511,True,True
PRJNA421286_SRR6368893,PRJNA421286,PRJNA421286,True,True
PRJNA554232_SRR9683495,PRJNA554232,PRJNA554232,True,True
PRJNA368739_SRR5203172,PRJNA368739,PRJNA368739,True,True
PRJEB23775_ERR2213393,PRJEB23775,PRJEB23775,True,True
PRJNA606262_SRR11140081,PRJNA606262,PRJNA548153,False,True
PRJDB9469_DRR243407,PRJDB9469,PRJDB9469,True,True
PRJEB37877_ERR4038104,PRJEB37877,PRJNA417357,False,False
PRJNA396815_SRR6867103,PRJNA396815,PRJNA396815,True,True
PRJEB5482_ERR522151,PRJEB5482,PRJEB5482,True,True
PRJEB33905_ERR3471513,PRJEB33905,PRJEB33905,True,True
PRJNA625181_SRR11545132,PRJNA625181,PRJNA625181,True,True
PRJEB15481_ERR1763074,PRJEB15481,PRJEB15481,True,True
PRJNA398279_SRR5933573,PRJNA398279,PRJNA428736,False,True
PRJEB11419_ERR6177007,PRJEB11419,PRJEB11419,True,True
PRJEB29433_ERR3386699,PRJEB29433,PRJEB28159,False,True
PRJNA548153_SRR9271019,PRJNA548153,PRJNA396815,False,True
PRJNA685746_SRR14485185,PRJNA685746,PRJNA685746,True,True
PRJEB38948_ERR4346988,PRJEB38948,PRJEB38948,True,True
PRJNA559143_SRR9917788,PRJNA559143,PRJNA559143,True,True
PRJEB27868_ERR2712460,PRJEB27868,PRJEB27868,True,True
PRJNA394877_SRR5979459,PRJNA394877,PRJNA394877,True,True
PRJEB16344_ERR1700656,PRJEB16344,PRJNA545312,False,True
PRJNA644655_SRR12169533,PRJNA644655,PRJNA644655,True,True
PRJNA231909_SRR1910571,PRJNA231909,PRJNA497734,False,True
PRJNA644655_SRR12169753,PRJNA644655,PRJNA644655,True,True
PRJNA547591_SRR9292685,PRJNA547591,PRJNA547591,True,True
PRJEB27564_ERR2730298,PRJEB27564,PRJEB27564,True,True
PRJNA729511_SRR14990958,PRJNA729511,PRJNA729511,True,True
PRJNA510423_SRR8348816,PRJNA510423,PRJNA510423,True,True
PRJEB27068_ERR3017351,PRJEB27068,PRJEB28159,False,True
PRJEB11419_ERR5332284,PRJEB11419,PRJEB11419,True,True
PRJNA685746_SRR14427599,PRJNA685746,PRJNA685746,True,True
PRJNA665123_SRR12695763,PRJNA665123,PRJNA396815,False,False
PRJEB33065_ERR3377547,PRJEB33065,PRJEB33065,True,True
PRJEB27868_ERR2712672,PRJEB27868,PRJNA547591,False,True
PRJNA548153_SRR9270391,PRJNA548153,PRJNA548153,True,True
PRJDB9469_DRR242883,PRJDB9469,PRJDB9469,True,True
PRJNA485797_SRR7690096,PRJNA485797,PRJNA428736,False,False
PRJNA685746_SRR14484620,PRJNA685746,PRJNA685746,True,True
PRJEB27068_ERR3018033,PRJEB27068,PRJEB21946,False,False
PRJEB39289_ERR4330355,PRJEB39289,PRJEB39289,True,True
PRJNA715036_SRR13985080,PRJNA715036,PRJNA715036,True,True
