disease_category,taxon,genus,meta_effect,meta_p,meta_q,k_projects,I2,pooled_effect,pooled_p,pooled_q,concordance_class,sign_agree,pooled_method
HIV,Bacteria.Bacillota.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus,Lactobacillus,0.13814012048437582,0.6389891156694569,0.8507726981297069,2.0,0.0,0.2791034756366757,0.16008918960613783,0.33618729817288945,ns,True,combat_ols
HIV,Bacteria.Bacillota.Bacilli.Lactobacillales.Lactobacillaceae.Ligilactobacillus,Ligilactobacillus,0.2187086937938934,0.4009350977074454,0.754952258449126,2.0,0.0,0.2161095146680938,0.3681467426217767,0.5478719240591795,ns,True,combat_ols
HIV,Bacteria.Bacillota.Bacilli.Lactobacillales.Streptococcaceae.Lactococcus,Lactococcus,0.132186089194423,0.6580850565821987,0.8576032040054947,2.0,61.646492938152356,0.28430878153105227,0.04238256671999024,0.1291984695173896,ns,True,combat_ols
HIV,Bacteria.Bacillota.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus,Streptococcus,0.22245543131542994,0.2745862216160496,0.6497096617977507,3.0,0.0,0.1158668957723645,0.6734223935134095,0.8234925790619434,ns,True,combat_ols
HIV,Bacteria.Bacillota.Bacilli.RF39.Incertae Sedis.Incertae Sedis,Incertae Sedis,-0.6993603242885487,0.001909377590708897,0.042244979194434346,3.0,0.0,-0.7948749300972331,0.0007608686627837292,0.010271726947580344,replicated,True,combat_ols
HIV,Bacteria.Bacillota.Bacilli.Staphylococcales.Gemellaceae.Gemella,Gemella,0.10264592182628793,0.5466595447725024,0.8126027730152566,2.0,14.269900095992035,,,,ns,False,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Christensenellales.Christensenellaceae.Christensenella,,,,,,,0.29905981996099285,0.0031757522436897654,0.02143632764490592,pooling_only,False,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Christensenellales.Christensenellaceae.Christensenellaceae R-7 group,Christensenellaceae R-7 group,-0.9745177691871667,3.4117526308357016e-05,0.003019401078289596,3.0,0.0,-0.9797746579655113,0.00021451119947566867,0.005791802385843054,replicated,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Christensenellales.Christensenellaceae.Incertae Sedis,Incertae Sedis,-0.4794071004672714,0.005927544106475198,0.09537957334964636,3.0,18.079092206104864,-0.32829962924249223,0.04639304161965894,0.13103154228986105,ns,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Christensenellales.Christensenellaceae.NA,Christensenellaceae,-0.428600618183198,0.15425657964032635,0.5326100676901487,2.0,0.0,0.07079528524596541,0.665052073752781,0.8234925790619434,ns,False,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Clostridia UCG-014.Incertae Sedis.Incertae Sedis,Incertae Sedis,-1.3250582991051145,0.00019953270268285243,0.011772429458288294,3.0,15.598307257924562,-1.1171766663556992,0.0017438049100836606,0.014329527304600517,replicated,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Clostridia vadinBB60 group.Incertae Sedis.Incertae Sedis,Incertae Sedis,-0.49886932996193556,0.17089877457010827,0.5509545417145041,3.0,45.75340746866481,-0.6196580039041194,0.04972438117013851,0.13820453001700264,ns,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Clostridiales.Clostridiaceae.Clostridium,Clostridium,-0.8513229445294825,0.0016997413768626273,0.042244979194434346,3.0,0.0,-0.9659517487882352,0.0011153393989945851,0.011094691916314557,replicated,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Eubacteriales.Anaerofustaceae.Anaerofustis,,,,,,,0.10335990053656512,0.33531281303532945,0.5194600136366989,ns,False,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Defluviitaleaceae.Defluviitaleaceae UCG-011,Defluviitaleaceae UCG-011,-0.32496382566278575,0.04600220306584542,0.2525725501080082,2.0,0.0,-0.32052169358057436,0.032299406437232156,0.1017431302772813,ns,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Agathobacter,Agathobacter,0.01972537870478234,0.947739843405675,0.9728153676759603,3.0,33.216767066855134,-0.048983027224768196,0.8864746494774813,0.9205698283035384,ns,False,combat_ols
