project,tag,bucket,controls,cases,study_n,n_distinct_values_after_null,top_values,note
PRJEB11419,mental_illness_type_bipolar_disorder,NEEDS_REVIEW,,,,4,"{""false"": 783, ""yes"": 27, ""true"": 15, ""unspecified"": 15}",
PRJEB11419,mental_illness_type_ptsd_post_traumatic_stress_disorder,NEEDS_REVIEW,,,,2,"{""false"": 957, ""true"": 23}",
PRJEB11419,mental_illness_type_ptsd_posttraumatic_stress_disorder,NEEDS_REVIEW,,,,2,"{""yes"": 28, ""unspecified"": 14}",
PRJEB11419,migraine,NEEDS_REVIEW,,,,5,"{""i do not have this condition"": 3839, ""diagnosed by a medical professional (doctor, physician assistant)"": 531, ""self-diagnosed"": 297, ""unspecified"": 150, ""diagnosed by an alternative medicine practitioner"": 4}",
PRJEB11419,pku,NEEDS_REVIEW,,,,4,"{""i do not have this condition"": 2593, ""unspecified"": 103, ""diagnosed by a medical professional (doctor, physician assistant)"": 3, ""diagnosed by an alternative medicine practitioner"": 2}",
PRJEB11419,sibo,NEEDS_REVIEW,,,,5,"{""i do not have this condition"": 4238, ""unspecified"": 311, ""self-diagnosed"": 112, ""diagnosed by a medical professional (doctor, physician assistant)"": 104, ""diagnosed by an alternative medicine practitioner"": 57}",
PRJEB11419,skin_condition,NEEDS_REVIEW,,,,5,"{""i do not have this condition"": 3328, ""diagnosed by a medical professional (doctor, physician assistant)"": 1152, ""unspecified"": 189, ""self-diagnosed"": 134, ""diagnosed by an alternative medicine practitioner"": 19}",
PRJEB11419,subset_healthy,NEEDS_REVIEW,,,,2,"{""false"": 1226, ""true"": 882}",
PRJEB11419,thyroid,NEEDS_REVIEW,,,,5,"{""i do not have this condition"": 4122, ""diagnosed by a medical professional (doctor, physician assistant)"": 470, ""unspecified"": 192, ""diagnosed by an alternative medicine practitioner"": 21, ""self-diagnosed"": 17}",
PRJEB15481,sample group,NEEDS_REVIEW,,,,3,"{""human gut metagenome"": 246, ""monotonous feeding experiment"": 20, ""diet intervention and cohousing experiment"": 6}",
PRJEB15534,lung/pulmonary disorder,CONFIRMED,56.0,71.0,127.0,2,"{""atopic asthma"": 71, ""control (no atopic asthma)"": 56}",
PRJEB1799,agegroup,NEEDS_REVIEW,,,,3,"{""adult"": 106, ""adolescent"": 38, ""senior"": 25}",
PRJEB20766,host disease status,NEEDS_REVIEW,,,,2,"{""high risk for asthma"": 137, ""low risk for asthma"": 117}",
PRJEB20773,opv response,NEEDS_REVIEW,,,,2,"{""seropositive"": 130, ""seronegative"": 110}",
PRJEB21946,probiotic group,NEEDS_REVIEW,,,,2,"{""1"": 210, ""0"": 126}",
PRJEB21946,zinc group,NEEDS_REVIEW,,,,2,"{""0"": 260, ""1"": 76}",
PRJEB22676,lung/pulmonary disorder,CONFIRMED,32.0,40.0,72.0,2,"{""atopic asthma"": 40, ""control (no atopic asthma)"": 32}",
PRJEB27807,env_medium,NEEDS_REVIEW,,,,10,"{""breast milk"": 82, ""oral catheter secretion"": 82, ""endotracheal catheter secretion"": 78, ""stool"": 76, ""sequencing negative ctrl"": 6}",
PRJEB28159,burden group for campylobacter,NEEDS_REVIEW,,,,3,"{""mid"": 390, ""low"": 318, ""high"": 217}",
PRJEB28159,burden group for eaec,NEEDS_REVIEW,,,,3,"{""mid"": 397, ""low"": 324, ""high"": 204}",
PRJEB28159,burden group for giardia,NEEDS_REVIEW,,,,3,"{""low"": 511, ""mid"": 229, ""high"": 185}",
PRJEB28159,burden group for norovirus,NEEDS_REVIEW,,,,3,"{""low"": 364, ""mid"": 338, ""high"": 223}",
PRJEB28159,in subcohort with no diarrhea for 30 days,NEEDS_REVIEW,,,,1,"{""yes"": 240}",
PRJEB28159,number of who food groups,NEEDS_REVIEW,,,,8,"{""7"": 274, ""6"": 222, ""5"": 137, ""0"": 98, ""1"": 85}",
PRJEB31840,disease_activity,NEEDS_REVIEW,,,,4,"{""active"": 48, ""remission"": 29, ""healthy"": 18, ""partialresponder"": 12}",
PRJEB32244,sample_type,NEEDS_REVIEW,,,,5,"{""fermentation1effluent"": 68, ""fermentation2effluent"": 46, ""mockcommunity"": 1, ""positivecontrol"": 1, ""infant1fecalsample"": 1}",
PRJEB36585,comparison_group,NEEDS_REVIEW,,,,4,"{""geohelmnintospositivos"": 39, ""malariapositivos"": 33, ""a_uninfected"": 31, ""both"": 27}",
